Task Name,Section,Description,Tags,Estimated Time
Define onboarding routing rules,Backlog,"Write deterministic rules mapping onboarding_state + identity_profiles to routes (/onboarding vs /chat). Output: markdown reference.",onboarding;architecture,30m
Implement getOnboardingContext(userId),Backlog,"Server-side function to fetch onboarding_state + identity draft and return structured context for agents.",backend;onboarding,30m
Create onboarding resume prompt rules,Backlog,"Define how IOA resumes onboarding with partial identity data (acknowledge, confirm, refine). Output: prompt section.",agent-design;onboarding,30m
Add onboarding route guard (middleware/layout),Backlog,"Prevent access to /chat if onboarding incomplete and redirect to /onboarding.",nextjs;auth;onboarding,30m
Create /onboarding page scaffold,Backlog,"Minimal page that launches voice chat with IOA as root agent. No forms.",frontend;onboarding,30m
Inject onboarding context into IOA session,Backlog,"Pass onboarding context (identity draft + state) into realtime session initialization.",voice;agent-context,30m
Handle identity confirmation transition,Backlog,"When identity confirmed: update status → confirmed, onboarding_state → completed.",backend;identity,30m
Implement coach assignment stub,Backlog,"Post-onboarding async logic to assign coach_type based on confirmed identity domain.",backend;coach,30m
Lock onboarding after completion,Backlog,"Prevent identity edits once onboarding_state = completed.",backend;guards,30m
Route completed users to /chat,Backlog,"Ensure logged-in users with completed onboarding always land on /chat.",routing;onboarding,30m
Wire /chat to assigned coach agent,Backlog,"Initialize voice/chat session using assigned coach type instead of IOA.",voice;coach,30m
Add stalled onboarding handling,Backlog,"Detect stalled onboarding and resume IOA with reminder framing.",onboarding;agent-design,30m
Create onboarding state enum + table,Backlog,"Define onboarding_state enum and persistence model.",database;onboarding,30m
Document onboarding flow v1,Backlog,"High-level flow doc linking identity, IOA, routing, and coach handoff.",docs;onboarding,30m
